population_size,mutation_probability,tournament_k,max_generations,selection_type,avg_best_distance,std_best_distance,min_best_distance,max_best_distance,avg_execution_time,successful_runs,total_runs
100,0.2,2,200,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.5803399880727133,3,3
100,0.2,2,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.5217697620391846,3,3
100,0.2,2,200,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,0.993216355641683,3,3
100,0.2,3,100,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.29682159423828125,3,3
100,0.2,3,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.2604462305704753,3,3
100,0.2,3,100,roulette,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,0.5021642049153646,3,3
100,0.2,3,200,tournament,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,0.6001605192820231,3,3
100,0.2,3,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.5232698122660319,3,3
100,0.2,3,200,roulette,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,1.01905624071757,3,3
100,0.2,5,100,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.3154691855112712,3,3
100,0.2,5,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.25927456219991046,3,3
100,0.2,5,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,0.4922504425048828,3,3
100,0.2,5,200,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.6384246349334717,3,3
100,0.2,5,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.5230343341827393,3,3
100,0.2,5,200,roulette,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.9865924517313639,3,3
100,0.5,2,100,tournament,428.15111075587924,0.0,428.15111075587924,428.15111075587924,0.2998931407928467,3,3
100,0.5,2,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.2784732182820638,3,3
100,0.5,2,100,roulette,425.15677070956957,4.234636303848076,419.1680906169501,428.15111075587924,0.5021392504374186,3,3
100,0.5,2,200,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.5991196632385254,3,3
100,0.5,2,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.5274835427602133,3,3
100,0.5,2,200,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,1.0073180198669434,3,3
100,0.5,3,100,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.3060033321380615,3,3
100,0.5,3,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.26733072598775226,3,3
100,0.5,3,100,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,0.5042086442311605,3,3
100,0.5,3,200,tournament,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,0.6096693674723307,3,3
100,0.5,3,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.532175620396932,3,3
100,0.5,3,200,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,1.0021816889444988,3,3
100,0.5,5,100,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.3219605286916097,3,3
100,0.5,5,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.26601306597391766,3,3
100,0.5,5,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,0.5018534660339355,3,3
100,0.5,5,200,tournament,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.6529810428619385,3,3
100,0.5,5,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.5279958248138428,3,3
100,0.5,5,200,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,1.0018025239308674,3,3
200,0.1,2,100,tournament,419.16809061695,8.038873388460929e-14,419.16809061694994,419.1680906169501,0.7589625517527262,3,3
200,0.1,2,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.6934985319773356,3,3
200,0.1,2,100,roulette,422.1624306632597,4.2346363038481565,419.16809061694994,428.15111075587924,1.6602195898691814,3,3
200,0.1,2,200,tournament,422.1624306632598,4.234636303848116,419.16809061694994,428.15111075587924,1.4954017003377278,3,3
200,0.1,2,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,1.3678569793701172,3,3
200,0.1,2,200,roulette,425.15677070956946,4.2346363038481565,419.16809061694994,428.15111075587924,3.2840583324432373,3,3
200,0.1,3,100,tournament,420.40713122111015,1.7522680267340534,419.1680906169501,422.88521242943017,0.7713998953501383,3,3
200,0.1,3,100,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,0.6915610631306967,3,3
200,0.1,3,100,roulette,428.15111075587924,0.0,428.15111075587924,428.15111075587924,1.6605994701385498,3,3
200,0.1,3,200,tournament,419.1680906169501,0.0,419.1680906169501,419.1680906169501,1.520868221918742,3,3
200,0.1,3,200,top10,419.16809061694994,0.0,419.16809061694994,419.16809061694994,1.3726110458374023,3,3
